SOMAscan ID,UniProt ID,Gene,Protein,#SNP,Internal_R2,Internal_Rho,FENLAND_R2,FENLAND_Rho,FENLAND_MissingRate,MEC_CN_R2,MEC_CN_Rho,MEC_CN_MissingRate,MEC_IN_R2,MEC_IN_Rho,MEC_IN_MissingRate,MEC_MA_R2,MEC_MA_Rho,MEC_MA_MissingRate,JHS_R2,JHS_Rho,JHS_MissingRate
CA3.3799.11.2,P07451,CA3,Carbonic anhydrase 3,3,0.016,0.107,0.016,0.111,0.0,0.017,0.133,0.0,0.024,0.137,0.0,0.005,0.084,0.0,0.001,0.029,0.0
CST5.3803.10.2,P28325,CST5,Cystatin-D,77,0.18,0.422,0.201,0.447,0.013,0.212,0.46,0.156,0.173,0.409,0.156,0.165,0.427,0.156,0.05,0.231,0.091
ESM1.3805.16.2,Q9NQ30,ESM1,Endothelial cell-specific molecule 1,2,0.021,0.127,0.012,0.106,0.0,0.007,0.068,0.0,0.014,0.128,0.0,0.007,0.093,0.0,0.006,0.1,0.5
FGFR2.3808.76.2,P21802,FGFR2,Fibroblast growth factor receptor 2,1,0.01,0.083,0.0,0.014,0.0,0.0,,0.0,0.0,,0.0,0.001,-0.044,0.0,0.0,-0.003,0.0
FGFR3.3809.1.2,P22607,FGFR3,Fibroblast growth factor receptor 3,1,0.013,0.09,0.0,-0.0,0.0,0.0,0.004,0.0,0.0,-0.005,0.0,0.003,-0.059,0.0,0.0,-0.006,0.0
FGR.3810.50.2,P09769,FGR,Tyrosine-protein kinase Fgr,17,0.032,0.164,0.0,-0.008,0.0,0.0,0.038,0.118,0.001,0.012,0.118,0.002,0.023,0.118,0.0,0.001,0.471
FYN.3813.3.2,P06241,FYN,Tyrosine-protein kinase Fyn,1,0.013,0.071,0.0,0.005,0.0,0.0,,0.0,0.006,-0.07,0.0,0.0,,0.0,0.0,0.005,0.0
IL11RA.3814.63.1,Q14626,IL11RA,Interleukin-11 receptor subunit alpha,13,0.037,0.173,,,,,,,,,,,,,,,
IL12RB2.3815.14.1,Q99665,IL12RB2,Interleukin-12 receptor subunit beta-2,10,0.041,0.183,0.0,0.013,0.0,0.002,-0.032,0.0,0.0,-0.007,0.0,0.007,0.074,0.0,0.002,0.096,0.0
MAPKAPK2.3820.68.2,P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,24,0.046,0.204,0.0,-0.002,0.0,0.0,0.023,0.125,0.0,-0.011,0.125,0.005,0.053,0.125,0.001,-0.032,0.5
MAPKAPK3.3822.54.2,Q16644,MAPKAPK3,MAP kinase-activated protein kinase 3,41,0.143,0.395,0.0,0.013,0.024,0.003,-0.027,0.049,0.001,-0.015,0.049,0.0,-0.017,0.049,0.055,0.217,0.22
MAPK8.3825.18.2,P45983,MAPK8,Mitogen-activated protein kinase 8,67,0.117,0.33,0.0,-0.009,0.015,0.001,0.036,0.105,0.002,-0.037,0.105,0.002,0.018,0.105,0.0,0.003,0.373
PAK6.3827.22.1,Q9NQU5,PAK6|BUB1B-PAK6,Serine/threonine-protein kinase PAK 6,6,0.015,0.116,0.0,0.017,0.0,0.002,0.053,0.167,0.001,-0.034,0.167,0.004,0.063,0.167,0.001,0.013,0.833
PTEN.3831.21.1,P60484,PTEN,Phosphatidylinositol 3_4_5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN,7,0.013,0.117,0.0,-0.012,0.0,0.001,-0.019,0.143,0.003,0.058,0.143,0.004,0.044,0.143,0.001,-0.037,0.429
PTK6.3832.51.1,Q13882,PTK6,Protein-tyrosine kinase 6,6,0.02,0.117,0.0,0.005,0.167,0.0,-0.016,0.333,0.0,-0.004,0.333,0.0,0.032,0.333,0.007,0.101,0.333
UFM1.3836.51.2,P61960,UFM1,Ubiquitin-fold modifier 1,26,0.051,0.217,0.0,-0.003,0.0,0.001,0.036,0.115,0.0,0.014,0.115,0.005,0.059,0.115,0.001,-0.032,0.423
ZAP70.3837.6.2,P43403,ZAP70,Tyrosine-protein kinase ZAP-70,1,0.01,0.048,,,,,,,,,,,,,,,
AIP.3839.60.2,O00170,AIP,AH receptor-interacting protein,31,0.081,0.279,0.0,0.016,0.032,0.0,-0.026,0.0,0.001,0.026,0.0,0.001,0.022,0.0,0.019,0.165,0.097
PPIA.3844.2.1,P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A,62,0.125,0.341,0.0,0.001,0.016,0.001,0.053,0.113,0.002,-0.044,0.113,0.006,0.06,0.113,0.0,0.004,0.371
DYNLRB1.3845.51.2,Q9NP97,DYNLRB1,Dynein light chain roadblock-type 1,19,0.046,0.187,0.208,0.393,0.0,0.16,0.376,0.053,0.196,0.408,0.053,0.166,0.368,0.053,0.013,0.111,0.105
ETHE1.3847.56.2,O95571,ETHE1,Persulfide dioxygenase ETHE1_ mitochondrial,5,0.035,0.162,0.001,0.025,0.0,0.001,0.017,0.0,0.04,0.207,0.0,0.011,0.108,0.0,0.018,0.175,0.4
GAPDH.3848.14.2,P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,11,0.024,0.134,0.0,0.002,0.0,0.0,0.029,0.182,0.0,-0.005,0.182,0.009,0.091,0.182,0.001,-0.038,0.545
MDH1.3853.56.1,P40925,MDH1,Malate dehydrogenase_ cytoplasmic,17,0.038,0.185,0.0,0.004,0.0,0.0,0.01,0.118,0.002,-0.034,0.118,0.001,0.017,0.118,0.0,0.013,0.471
PRDX1.3855.56.1,Q06830,PRDX1,Peroxiredoxin-1,2,0.009,0.081,0.0,0.014,0.0,0.007,0.076,0.5,0.015,0.129,0.5,0.003,0.086,0.5,0.007,0.079,0.0
ACP1.3858.5.1,P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,153,0.586,0.77,0.673,0.79,0.02,0.576,0.727,0.111,0.543,0.707,0.111,0.637,0.781,0.111,0.563,0.684,0.163
PSMA1.3859.50.2,P25786,PSMA1,Proteasome subunit alpha type-1,1,0.012,0.066,0.0,0.02,0.0,0.0,,0.0,0.001,-0.037,0.0,0.0,0.016,0.0,0.0,0.002,0.0
RPS7.3864.5.2,P62081,RPS7,40S ribosomal protein S7,88,0.201,0.43,0.0,-0.006,0.023,0.0,0.003,0.114,0.005,-0.061,0.114,0.001,0.021,0.114,0.0,-0.011,0.352
SBDS.3866.7.2,Q9Y3A5,SBDS,Ribosome maturation protein SBDS,4,0.028,0.144,0.006,0.061,0.0,0.004,0.062,0.0,0.0,0.003,0.0,0.007,0.081,0.0,0.001,0.015,0.25
TPT1.3872.2.1,P13693,TPT1,Translationally-controlled tumor protein,49,0.088,0.286,0.0,-0.005,0.0,0.001,0.033,0.102,0.003,-0.052,0.102,0.005,0.053,0.102,0.0,0.005,0.367
TPO.3873.51.2,P07202,TPO,Thyroid peroxidase,1,0.012,0.09,0.0,0.01,0.0,0.0,-0.023,0.0,0.0,0.013,0.0,0.001,0.039,0.0,0.001,0.059,0.0
CDC37.3879.50.1,Q16543,CDC37,Hsp90 co-chaperone Cdc37,5,0.016,0.123,0.0,-0.009,0.0,0.001,0.021,0.2,0.0,0.008,0.2,0.004,0.049,0.2,0.0,-0.019,0.4
DYNLL1.3881.49.2,P63167,DYNLL1,Dynein light chain 1_ cytoplasmic,9,0.017,0.136,0.003,0.06,0.444,0.005,0.074,0.222,0.006,0.081,0.222,0.001,0.043,0.222,0.0,0.019,0.333
ING1.3888.8.1,Q9UK53,ING1,Inhibitor of growth protein 1,25,0.051,0.21,0.0,0.001,0.0,0.002,0.04,0.12,0.0,-0.029,0.12,0.003,0.042,0.12,0.0,0.002,0.4
LMNB1.3889.64.2,P20700,LMNB1,Lamin-B1,5,0.026,0.104,0.0,-0.007,0.0,0.003,-0.058,0.6,0.0,0.023,0.6,0.0,-0.029,0.6,0.0,0.021,0.0
LDHB.3890.8.2,P07195,LDHB,L-lactate dehydrogenase B chain,42,0.078,0.259,0.0,0.0,0.0,0.0,0.013,0.119,0.0,-0.004,0.119,0.006,0.055,0.119,0.0,0.001,0.429
MBD4.3891.56.1,O95243,MBD4,Methyl-CpG-binding domain protein 4,2,0.018,0.095,0.0,0.005,0.0,0.002,-0.057,0.5,0.0,-0.027,0.5,0.0,-0.0,0.5,0.0,-0.011,0.5
MED1.3892.21.2,Q15648,MED1,Mediator of RNA polymerase II transcription subunit 1,1,0.009,0.087,0.005,0.078,0.0,0.003,0.052,0.0,0.006,0.074,0.0,0.004,0.077,0.0,,,
MSLN.3893.55.2,Q13421,MSLN,Mesothelin,5,0.018,0.129,,,,,,,,,,,,,,,
NAGK.3894.15.2,Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase,64,0.136,0.352,0.004,0.06,0.047,0.003,0.068,0.141,0.0,-0.001,0.141,0.001,0.002,0.141,0.008,0.085,0.344
PGAM1.3896.5.2,P18669,PGAM1,Phosphoglycerate mutase 1,34,0.073,0.271,0.001,0.025,0.0,0.0,-0.021,0.088,0.008,-0.065,0.088,0.002,0.053,0.088,0.001,0.025,0.382
SNX4.3903.49.2,O95219,SNX4,Sorting nexin-4,1,0.01,0.061,0.0,0.012,0.0,0.001,0.039,0.0,0.002,-0.046,0.0,0.0,,0.0,0.0,0.021,0.0
UBE2N.3905.62.1,P61088,UBE2N,Ubiquitin-conjugating enzyme E2 N,39,0.079,0.267,0.0,0.009,0.0,0.0,-0.034,0.128,0.0,-0.002,0.128,0.002,0.029,0.128,0.0,-0.001,0.41
AGER.4125.52.2,Q15109,AGER,Advanced glycosylation end product-specific receptor_ soluble,86,0.114,0.323,0.09,0.286,0.14,0.065,0.248,0.244,0.046,0.22,0.244,0.056,0.231,0.244,0.019,0.14,0.233
BPI.4126.22.1,P17213,BPI,Bactericidal permeability-increasing protein,42,0.163,0.386,0.162,0.378,0.0,0.119,0.311,0.024,0.212,0.45,0.024,0.117,0.322,0.024,0.03,0.19,0.024
CCL24.4128.27.2,O00175,CCL24,C-C motif chemokine 24,1,0.014,0.111,0.0,0.01,0.0,0.0,0.011,0.0,0.0,-0.01,0.0,0.001,0.022,0.0,0.0,0.012,0.0
CFB.4129.72.1,P00751,CFB,Complement factor B,155,0.125,0.336,0.129,0.333,0.252,0.052,0.222,0.277,0.228,0.475,0.277,0.096,0.284,0.277,0.065,0.255,0.523
FN1.4131.72.2,P02751,FN1,Fibronectin,2,0.012,0.111,0.002,0.042,0.0,0.029,0.144,0.0,0.018,0.122,0.0,0.017,0.148,0.0,0.006,0.077,0.0
FST.4132.27.2,P19883,FST,Follistatin,2,0.018,0.105,0.0,0.002,0.5,0.0,,0.5,0.0,-0.017,0.5,0.001,0.032,0.5,0.001,-0.029,0.0
GZMB.4133.54.2,P10144,GZMB,Granzyme B,49,0.139,0.355,0.005,0.066,0.0,0.015,0.124,0.082,0.009,0.1,0.082,0.005,0.068,0.082,0.006,0.096,0.143
IGHE.IGK.IGL.4135.84.2,P01854,IGHE|IGK|IGL,Immunoglobulin E,4,0.016,0.118,0.002,-0.045,0.75,0.0,0.018,0.25,0.014,0.108,0.25,0.008,0.109,0.25,,,
IL25.4137.57.2,Q9H293,IL25,Interleukin-25,84,0.206,0.441,0.02,0.13,0.0,0.022,0.105,0.048,0.016,0.137,0.048,0.023,0.089,0.048,0.262,0.634,0.06
IL6R.4139.71.2,P08887,IL6R,Interleukin-6 receptor subunit alpha,123,0.609,0.78,,,,,,,,,,,,,0.226,0.453,0.089
IL7.4140.3.2,P13232,IL7,Interleukin-7,1,0.011,0.089,0.0,0.011,0.0,0.0,-0.011,0.0,0.0,0.002,0.0,0.001,-0.032,0.0,0.0,-0.005,0.0
CXCL10.4141.79.1,P02778,CXCL10,C-X-C motif chemokine 10,1,0.061,0.19,0.052,0.177,0.0,0.013,0.093,0.0,0.0,,0.0,0.0,,0.0,0.011,0.066,0.0
XCL1.4143.74.2,P47992,XCL1,Lymphotactin,2,0.016,0.101,0.0,-0.013,0.0,0.001,-0.077,0.0,0.001,0.015,0.0,0.003,-0.06,0.0,0.0,-0.007,0.5
NTF3.4145.58.2,P20783,NTF3,Neurotrophin-3,1,0.011,0.092,0.0,-0.006,0.0,0.0,,0.0,0.006,0.077,0.0,0.0,0.009,0.0,0.0,0.019,0.0
PAPPA.4148.49.2,Q13219,PAPPA,Pappalysin-1,2,0.014,0.111,0.008,0.093,0.0,0.01,0.076,0.0,0.006,0.081,0.0,0.005,0.049,0.0,0.001,0.029,0.0
PDGFB.4149.8.2,P01127,PDGFB,Platelet-derived growth factor subunit B,4,0.026,0.142,0.004,0.06,0.0,0.008,0.1,0.0,0.005,0.076,0.0,0.003,0.057,0.0,0.0,0.002,0.0
PLG.4150.75.2,P00747,PLG,Plasmin,2,0.023,0.137,0.0,-0.008,0.0,0.002,0.047,0.5,0.002,-0.057,0.5,0.001,-0.03,0.5,0.0,-0.003,0.0
PLG.4151.6.2,P00747,PLG,Plasminogen,46,0.081,0.221,0.072,0.22,0.022,0.007,0.087,0.348,0.007,0.095,0.348,0.003,0.054,0.348,0.034,0.103,0.109
KLKB1.4152.58.2,P03952,KLKB1,Plasma kallikrein,93,0.284,0.53,0.307,0.552,0.011,0.222,0.454,0.043,0.138,0.365,0.043,0.164,0.402,0.043,0.045,0.237,0.108
SERPINA3.4153.11.2,P01011,SERPINA3,Alpha-1-antichymotrypsin complex,6,0.038,0.179,0.078,0.272,0.0,0.031,0.173,0.0,0.014,0.123,0.0,0.011,0.098,0.0,0.013,0.117,0.0
SELP.4154.57.2,P16109,SELP,P-selectin,58,0.267,0.505,0.024,0.15,0.017,0.008,0.087,0.155,0.002,0.05,0.155,0.002,0.024,0.155,0.028,0.154,0.121
F2.4157.2.1,P00734,F2,Thrombin,24,0.082,0.273,0.142,0.364,0.0,0.068,0.26,0.042,0.106,0.311,0.042,0.08,0.284,0.042,0.102,0.313,0.208
PLAU.4158.54.2,P00749,PLAU,Urokinase-type plasminogen activator,10,0.063,0.193,0.107,0.263,0.0,0.006,0.076,0.3,0.035,0.218,0.3,0.011,0.103,0.3,0.01,0.131,0.2
CFH.4159.130.1,P08603,CFH,Complement factor H,68,0.099,0.297,0.044,0.201,0.029,0.036,0.2,0.323,0.03,0.145,0.323,0.015,0.11,0.323,0.099,0.316,0.529
MMP2.4160.49.1,P08253,MMP2,72 kDa type IV collagenase,1,0.008,0.052,0.0,-0.005,0.0,,,,,,,,,,0.0,0.005,0.0
YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4179.57.3,P61981,YWHAB|YWHAE|YWHAG|YWHAH|YWHAQ|YWHAZ|SFN,14-3-3 protein family,19,0.033,0.189,0.0,0.016,0.0,,,,,,,,,,,,
PGD.4187.49.2,P52209,PGD,6-phosphogluconate dehydrogenase_ decarboxylating,37,0.071,0.247,0.0,-0.004,0.0,0.001,0.05,0.108,0.0,-0.024,0.108,0.006,0.049,0.108,0.001,-0.041,0.459
AKR7A2.4188.1.2,O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,4,0.024,0.138,0.0,0.003,0.0,0.0,0.023,0.0,0.0,0.006,0.0,0.012,0.105,0.0,0.0,0.013,0.5
AKR1A1.4192.10.2,P14550,AKR1A1,Alcohol dehydrogenase [NADP(+)],126,0.251,0.435,0.051,0.164,0.008,0.001,0.029,0.214,0.0,-0.016,0.214,0.006,0.062,0.214,0.017,0.059,0.23
ANP32B.4194.26.3,Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,6,0.02,0.124,0.0,-0.01,0.0,0.0,0.003,0.0,0.014,0.117,0.0,0.01,0.103,0.0,0.003,0.066,0.5
CFL1.4203.50.2,P23528,CFL1,Cofilin-1,46,0.123,0.348,0.0,0.015,0.022,0.001,0.035,0.065,0.002,0.008,0.065,0.006,0.076,0.065,0.002,0.038,0.283
VTA1.4209.60.2,Q9NP79,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,1,0.009,0.103,0.0,0.016,0.0,0.001,0.037,0.0,0.001,-0.018,0.0,0.008,0.091,0.0,0.0,0.007,0.0
FER.4220.39.2,P16591,FER,Tyrosine-protein kinase Fer,3,0.012,0.112,0.0,0.002,0.0,0.001,0.055,0.0,0.001,0.025,0.0,0.011,0.104,0.0,0.0,0.001,0.667
SYNCRIP.4224.7.2,O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,13,0.029,0.153,0.0,0.01,0.0,0.003,0.067,0.077,0.004,0.08,0.077,0.006,0.095,0.077,0.0,0.016,0.385
EIF4G2.4230.1.2,P78344,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,11,0.019,0.138,0.0,0.008,0.0,0.001,0.034,0.091,0.0,-0.031,0.091,0.003,0.048,0.091,0.0,0.014,0.545
IGF1R.4232.19.2,P08069,IGF1R,Insulin-like growth factor 1 receptor,2,0.013,0.109,0.008,0.094,0.0,,,,,,,,,,0.011,0.105,0.5
IL1RL1.4234.8.2,Q01638,IL1RL1,Interleukin-1 receptor-like 1,169,0.428,0.637,0.426,0.645,0.012,0.297,0.569,0.101,0.342,0.574,0.101,0.229,0.471,0.101,0.043,0.189,0.059
PKM2.4240.31.2,P14618,PKM,Pyruvate kinase PKM,33,0.058,0.241,0.0,-0.0,0.0,0.001,0.051,0.091,0.0,-0.031,0.091,0.007,0.081,0.091,0.0,-0.015,0.455
L1CAM.4246.40.2,P32004,L1CAM,Neural cell adhesion molecule L1,3,0.021,0.143,0.006,0.081,0.0,0.0,0.008,0.667,0.001,0.043,0.667,0.006,-0.069,0.667,0.006,0.092,0.333
NME2.4249.64.2,P22392,NME2,Nucleoside diphosphate kinase B,22,0.05,0.224,0.007,0.088,0.0,0.008,0.098,0.091,0.002,0.043,0.091,0.019,0.154,0.091,0.001,0.024,0.318
NUDCD3.4254.6.2,Q8IVD9,NUDCD3,NudC domain-containing protein 3,1,0.009,0.093,0.0,-0.006,0.0,0.001,-0.021,0.0,0.006,0.064,0.0,0.001,-0.02,0.0,0.0,-0.007,0.0
PA2G4.4258.15.2,Q9UQ80,PA2G4,Proliferation-associated protein 2G4,21,0.057,0.234,0.002,0.049,0.0,0.001,0.041,0.143,0.003,0.04,0.143,0.01,0.083,0.143,0.003,0.05,0.333
PON1.4261.55.2,P27169,PON1,Serum paraoxonase/arylesterase 1,1,0.011,0.101,0.0,-0.0,0.0,0.002,0.028,0.0,0.002,-0.026,0.0,0.0,0.008,0.0,0.001,-0.029,0.0
PES1.4267.81.3,O00541,PES1,Pescadillo homolog,1,0.011,0.096,0.0,-0.002,0.0,0.003,-0.068,0.0,0.006,-0.079,0.0,0.002,-0.044,0.0,,,
PFDN5.4271.75.2,Q99471,PFDN5,Prefoldin subunit 5,5,0.023,0.125,0.0,-0.005,0.0,0.0,0.013,0.2,0.003,0.04,0.2,0.003,0.04,0.2,0.0,0.017,0.2
GPI.4272.46.2,P06744,GPI,Glucose-6-phosphate isomerase,67,0.126,0.337,0.0,-0.001,0.03,0.001,0.017,0.119,0.005,-0.055,0.119,0.005,0.063,0.119,0.0,0.02,0.388
PEBP1.4276.10.2,P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,38,0.108,0.272,0.014,0.045,0.0,0.0,0.05,0.184,0.004,-0.039,0.184,0.007,0.074,0.184,0.0,-0.005,0.316
RAN.4282.3.2,P62826,RAN,GTP-binding nuclear protein Ran,35,0.07,0.253,0.0,0.006,0.0,0.0,0.027,0.114,0.0,-0.03,0.114,0.004,0.041,0.114,0.002,-0.044,0.429
RBM39.4284.18.3,Q14498,RBM39,RNA-binding protein 39,42,0.067,0.244,0.0,-0.0,0.024,0.002,-0.031,0.119,0.001,0.012,0.119,0.001,0.021,0.119,0.0,-0.025,0.405
SPON1.4297.62.3,Q9HCB6,SPON1,Spondin-1,24,0.07,0.257,0.106,0.323,0.042,0.092,0.276,0.0,0.126,0.337,0.0,0.062,0.234,0.0,0.024,0.161,0.083
TK1.4301.58.2,P04183,TK1,Thymidine kinase_ cytosolic,1,0.014,0.1,0.0,0.007,0.0,0.0,-0.018,0.0,0.002,0.041,0.0,0.001,0.033,0.0,0.0,0.031,0.0
LCORL.4304.18.2,Q8N3X6,LCORL,Ligand-dependent nuclear receptor corepressor-like protein,2,0.018,0.119,0.0,-0.001,0.0,0.002,0.026,0.0,0.002,-0.042,0.0,0.0,-0.005,0.0,0.0,-0.011,0.0
TKT.4306.4.2,P29401,TKT,Transketolase,42,0.086,0.28,0.0,-0.001,0.0,0.002,0.054,0.119,0.002,-0.028,0.119,0.004,0.041,0.119,0.0,0.016,0.381
TPI1.4309.59.3,P60174,TPI1,Triosephosphate isomerase,42,0.087,0.279,0.0,-0.004,0.0,0.002,0.05,0.119,0.003,-0.047,0.119,0.005,0.051,0.119,0.0,0.016,0.405
PTPN6.4318.12.3,P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,66,0.132,0.345,0.0,-0.002,0.015,0.0,-0.019,0.106,0.002,-0.024,0.106,0.002,0.037,0.106,0.0,0.011,0.364
CST2.4324.33.2,P09228,CST2,Cystatin-SA,69,0.166,0.397,0.133,0.356,0.014,0.049,0.211,0.174,0.053,0.228,0.174,0.075,0.25,0.174,0.08,0.283,0.101
BOC.4328.2.2,Q9BWV1,BOC,Brother of CDO,1,0.01,0.084,0.015,0.119,0.0,0.018,0.136,0.0,0.013,0.1,0.0,0.022,0.137,0.0,0.006,0.072,0.0
CLEC1B.4332.6.2,Q9P126,CLEC1B,C-type lectin domain family 1 member B,16,0.035,0.173,0.019,0.132,0.0,0.006,0.078,0.0,0.02,0.098,0.0,0.021,0.154,0.0,0.004,0.072,0.125
SAA1.4336.2.1,P0DJI8,SAA1,Serum amyloid A-1 protein,101,0.558,0.734,,,,,,,,,,,,,0.25,0.528,0.257
CRP.4337.49.2,P02741,CRP,C-reactive protein,10,0.046,0.2,0.044,0.201,0.0,0.049,0.198,0.1,0.03,0.163,0.1,0.045,0.2,0.1,0.023,0.157,0.1
ICAM1.4342.10.3,P05362,ICAM1,Intercellular adhesion molecule 1,165,0.699,0.828,0.712,0.841,0.012,0.447,0.663,0.109,0.583,0.771,0.109,0.462,0.668,0.109,0.445,0.581,0.109
DAPK2.4355.13.1,Q9UIK4,DAPK2,Death-associated protein kinase 2,69,0.132,0.346,0.0,-0.006,0.029,0.0,-0.009,0.116,0.0,-0.008,0.116,0.005,0.034,0.116,0.0,-0.014,0.391
DYRK3.4359.87.1,O43781,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3,2,0.011,0.097,0.005,0.08,0.0,0.0,0.017,0.0,0.002,0.054,0.0,0.002,0.073,0.0,0.001,0.027,0.0
GDF15.4374.45.2,Q99988,GDF15,Growth/differentiation factor 15,32,0.21,0.467,0.142,0.384,0.0,0.084,0.283,0.031,0.19,0.453,0.031,0.106,0.318,0.031,0.026,0.168,0.0
FGF8.4394.71.2,P55075,FGF8,Fibroblast growth factor 8 isoform A,15,0.02,0.141,0.001,0.028,0.533,0.004,0.067,0.267,0.0,0.006,0.267,0.006,0.093,0.267,0.007,0.1,0.6
IFNL2.4397.26.2,Q8IZJ0,IFNL2,Interferon lambda-2,1,0.012,0.094,0.0,0.003,0.0,0.003,0.073,0.0,0.0,-0.018,0.0,0.0,0.001,0.0,0.001,-0.041,0.0
MST1.4407.10.1,P26927,MST1,Hepatocyte growth factor-like protein,495,0.683,0.809,0.671,0.807,0.048,0.171,0.245,0.242,0.363,0.6,0.242,0.099,0.238,0.242,0.351,0.576,0.186
SLPI.4413.3.2,P03973,SLPI,Antileukoproteinase,12,0.03,0.151,0.015,0.129,0.0,0.011,0.108,0.083,0.003,0.081,0.083,0.002,0.022,0.083,0.002,0.016,0.0
SFTPD.4414.69.2,P35247,SFTPD,Pulmonary surfactant-associated protein D,76,0.178,0.403,,,,,,,,,,,,,0.0,0.036,0.382
BCL2L1.4423.77.2,Q07817,BCL2L1,Bcl-2-like protein 1,2,0.027,0.153,0.007,0.105,0.0,0.002,0.059,0.0,0.01,0.099,0.0,0.001,0.025,0.0,0.0,0.01,0.5
COLEC11.4430.44.3,Q9BWP8,COLEC11,Collectin-11,60,0.357,0.559,0.302,0.519,0.0,0.308,0.522,0.067,0.346,0.581,0.067,0.253,0.473,0.067,0.086,0.301,0.1
ENPP7.4435.66.2,Q6UWV6,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,81,0.463,0.692,0.448,0.685,0.123,0.428,0.624,0.123,0.399,0.651,0.123,0.423,0.657,0.123,0.226,0.461,0.123
ENTPD3.4436.1.2,O75355,ENTPD3,Ectonucleoside triphosphate diphosphohydrolase 3,1,0.015,0.101,0.0,0.004,0.0,0.0,-0.022,0.0,0.0,0.006,0.0,0.001,0.045,0.0,0.003,0.091,0.0
ENTPD5.4437.56.3,O75356,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,58,0.142,0.321,0.183,0.358,0.0,0.214,0.429,0.103,0.43,0.654,0.103,0.214,0.45,0.103,0.043,0.201,0.138
FCRL3.4440.15.2,Q96P31,FCRL3,Fc receptor-like protein 3,51,0.137,0.38,0.284,0.543,0.0,0.277,0.551,0.02,0.24,0.526,0.02,0.365,0.614,0.02,0.008,0.168,0.059
GREM1.4449.67.3,O60565,GREM1,Gremlin-1,8,0.029,0.136,,,,,,,,,,,,,0.059,0.439,0.125
HNRNPAB.4450.26.2,Q99729,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,75,0.136,0.348,,,,,,,,,,,,,0.0,-0.038,0.373
MFGE8.4455.89.2,Q08431,MFGE8,Lactadherin,14,0.026,0.155,0.063,0.25,0.0,0.013,0.122,0.071,0.078,0.28,0.071,0.053,0.246,0.071,0.001,0.026,0.071
PCSK7.4459.68.2,Q16549,PCSK7,Proprotein convertase subtilisin/kexin type 7,29,0.031,0.161,0.343,0.56,0.034,0.319,0.583,0.172,0.237,0.497,0.172,0.338,0.619,0.172,0.158,0.427,0.241
PDPK1.4460.8.2,O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,68,0.116,0.323,0.0,-0.01,0.029,0.001,0.045,0.118,0.0,0.001,0.118,0.006,0.047,0.118,0.0,0.003,0.412
SIGLEC1.4464.10.2,Q9BZZ2,SIGLEC1,Sialoadhesin,1,0.012,0.051,0.0,-0.018,0.0,0.0,,0.0,0.002,0.049,0.0,0.0,,0.0,0.0,-0.02,0.0
SPARCL1.4467.49.2,Q14515,SPARCL1,SPARC-like protein 1,55,0.161,0.402,0.254,0.504,0.018,0.147,0.385,0.055,0.183,0.414,0.055,0.174,0.45,0.055,0.057,0.237,0.091
SPHK2.4468.21.2,Q9NRA0,SPHK2,Sphingosine kinase 2,1,0.01,0.076,0.0,0.011,0.0,0.001,0.017,0.0,0.001,0.014,0.0,0.0,-0.014,0.0,0.0,-0.032,0.0
CHST15.4469.78.2,Q7LFX5,CHST15,Carbohydrate sulfotransferase 15,13,0.05,0.234,0.072,0.286,0.077,0.019,0.14,0.385,0.008,0.132,0.385,0.039,0.174,0.385,0.005,0.072,0.231
TGM3.4471.50.2,Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E,78,0.087,0.282,0.027,0.153,0.231,0.003,0.055,0.231,0.013,0.082,0.231,0.01,0.051,0.231,0.002,0.051,0.551
TPM2.4472.5.2,P07951,TPM2,Tropomyosin beta chain,2,0.024,0.125,0.0,-0.001,0.0,0.001,-0.045,0.5,0.001,0.016,0.5,0.001,0.046,0.5,0.007,0.082,0.0
RPS27A.4474.19.2,P62979,RPS27A,Ubiquitin,23,0.046,0.203,0.0,0.002,0.0,0.0,0.014,0.13,0.002,-0.047,0.13,0.009,0.086,0.13,0.0,0.014,0.478
ZAP70.4475.60.3,P43403,ZAP70,Tyrosine-protein kinase ZAP-70,2,0.018,0.11,,,,,,,,,,,,,,,
